CustomerID,customer_revenue
14646,280206.02
18102,259657.29999999996
17450,194390.79000000004
16446,168472.5
14911,143711.17000000007
12415,124914.52999999997
14156,117210.07999999999
17511,91062.38000000002
16029,80850.84
12346,77183.6
16684,66653.56
14096,65164.789999999986
13694,65039.61999999999
15311,60632.74999999994
13089,58762.07999999997
17949,58510.479999999996
15769,56252.72
15061,54534.140000000014
14298,51527.299999999974
14088,50491.810000000005
15749,44534.3
12931,42055.96
17841,40519.83999999989
15098,39916.5
13798,37153.85
16013,37130.6
16422,34684.4
15838,33643.079999999994
12748,33053.189999999944
17404,31906.820000000003
17389,31833.679999999997
13098,28882.440000000002
14680,28754.109999999997
13081,28337.379999999994
13408,28117.040000000008
17857,26879.039999999997
16333,26626.800000000003
13777,25977.159999999996
12753,21429.390000000003
12744,21279.29
16210,21086.300000000003
17675,20374.280000000002
17381,20275.61
12471,19788.649999999998
15039,19766.590000000004
12731,18895.91
15159,18641.01
12901,17654.539999999997
12678,17628.46
14031,17286.859999999997
17428,17256.850000000002
13767,17220.36
13881,17159.52
16839,16594.350000000002
12921,16587.09
17677,16345.380000000003
15189,16225.390000000001
14607,16209.5
15856,16143.64
14051,15610.390000000001
15513,14758.219999999998
16133,14589.04
14866,14389.899999999998
16705,14034.99
12681,13787.539999999999
12621,13689.67
12540,13400.24
12433,13375.87
15498,13316.4
12477,13219.74
17735,13110.020000000002
16525,13027.45
14258,12669.980000000001
13078,12627.939999999997
12536,12601.830000000002
15640,12416.11
16000,12393.7
17340,12353.289999999999
12682,12279.819999999998
13113,12245.960000000001
14606,12076.150000000012
12557,11990.96
12939,11581.8
15125,11528.48
14194,11349.519999999999
12971,11189.910000000002
14895,11138.710000000001
12409,11072.669999999998
17581,11025.24
15482,10879.76
13319,10845.550000000001
17107,10797.48
13340,10736.48
17139,10650.77
16779,10611.720000000001
17865,10526.320000000003
17706,10504.490000000002
15251,10484.990000000002
14062,10464.849999999999
14769,10416.980000000001
15615,10399.74
15502,10384.93
16180,10254.179999999998
16843,10196.57
12590,9864.26
13199,9817.119999999999
13001,9785.970000000001
15078,9743.109999999999
12709,9706.519999999999
13458,9646.570000000002
14733,9585.91
16523,9418.470000000001
12567,9401.28
14367,9227.819999999998
14667,9175.040000000003
18092,9068.26
12451,9035.52
13969,9024.170000000002
13488,8968.310000000001
13090,8910.82
16033,8778.820000000002
17017,8694.260000000002
17306,8631.310000000001
16656,8625.8
17243,8540.050000000001
14527,8507.130000000006
12683,8476.57
18139,8438.34
15358,8347.2
16558,8338.49
14056,8152.710000000001
14936,8137.0199999999995
16672,8134.940000000001
13854,8109.52
14952,8099.49
18109,8004.920000000001
14796,7975.490000000001
12428,7956.46
15290,7943.220000000001
14849,7930.539999999998
12757,7834.649999999999
13093,7832.469999999999
12435,7829.89
13629,7792.36
17811,7761.8200000000015
15044,7634.7300000000005
15194,7616.530000000001
18172,7561.679999999999
13263,7436.930000000003
12980,7374.9
15465,7354.619999999999
17396,7330.800000000001
12474,7324.09
12583,7281.38
13018,7277.700000000001
